IMAGE\LABEL,index
agricultural00,0
agricultural01,0
agricultural02,0
agricultural03,0
agricultural04,0
agricultural05,0
agricultural06,0
agricultural07,0
agricultural08,0
agricultural09,0
agricultural10,0
agricultural11,0
agricultural12,0
agricultural13,0
agricultural14,0
agricultural15,0
agricultural16,0
agricultural17,0
agricultural18,0
agricultural19,0
agricultural20,0
agricultural21,0
agricultural22,0
agricultural23,0
agricultural24,0
agricultural25,0
agricultural26,0
agricultural27,0
agricultural28,0
agricultural29,0
agricultural30,0
agricultural31,0
agricultural32,0
agricultural33,0
agricultural34,0
agricultural35,0
agricultural36,0
agricultural37,0
agricultural38,0
agricultural39,0
agricultural40,0
agricultural41,0
agricultural42,0
agricultural43,0
agricultural44,0
agricultural45,0
agricultural46,0
agricultural47,0
agricultural48,0
agricultural49,0
agricultural50,0
agricultural51,0
agricultural52,0
agricultural53,0
agricultural54,0
agricultural55,0
agricultural56,0
agricultural57,0
agricultural58,0
agricultural59,0
agricultural60,0
agricultural61,0
agricultural62,0
agricultural63,0
agricultural64,0
agricultural65,0
agricultural66,0
agricultural67,0
agricultural68,0
agricultural69,0
agricultural70,0
agricultural71,0
agricultural72,0
agricultural73,0
agricultural74,0
agricultural75,0
agricultural76,0
agricultural77,0
agricultural78,0
agricultural79,0
agricultural80,0
agricultural81,0
agricultural82,0
agricultural83,0
agricultural84,0
agricultural85,0
agricultural86,0
agricultural87,0
agricultural88,0
agricultural89,0
agricultural90,0
agricultural91,0
agricultural92,0
agricultural93,0
agricultural94,0
agricultural95,0
agricultural96,0
agricultural97,0
agricultural98,0
agricultural99,0
airplane00,1
airplane01,1
airplane02,1
airplane03,1
airplane04,1
airplane05,1
airplane06,1
airplane07,1
airplane08,1
airplane09,1
airplane10,1
airplane11,1
airplane12,1
airplane13,1
airplane14,1
airplane15,1
airplane16,1
airplane17,1
airplane18,1
airplane19,1
airplane20,1
airplane21,1
airplane22,1
airplane23,1
airplane24,1
airplane25,1
airplane26,1
airplane27,1
airplane28,1
airplane29,1
airplane30,1
airplane31,1
airplane32,1
airplane33,1
airplane34,1
airplane35,1
airplane36,1
airplane37,1
airplane38,1
airplane39,1
airplane40,1
airplane41,1
airplane42,1
airplane43,1
airplane44,1
airplane45,1
airplane46,1
airplane47,1
airplane48,1
airplane49,1
airplane50,1
airplane51,1
airplane52,1
airplane53,1
airplane54,1
airplane55,1
airplane56,1
airplane57,1
airplane58,1
airplane59,1
airplane60,1
airplane61,1
airplane62,1
airplane63,1
airplane64,1
airplane65,1
airplane66,1
airplane67,1
airplane68,1
airplane69,1
airplane70,1
airplane71,1
airplane72,1
airplane73,1
airplane74,1
airplane75,1
airplane76,1
airplane77,1
airplane78,1
airplane79,1
airplane80,1
airplane81,1
airplane82,1
airplane83,1
airplane84,1
airplane85,1
airplane86,1
airplane87,1
airplane88,1
airplane89,1
airplane90,1
airplane91,1
airplane92,1
airplane93,1
airplane94,1
airplane95,1
airplane96,1
airplane97,1
airplane98,1
airplane99,1
baseballdiamond00,2
baseballdiamond01,2
baseballdiamond02,2
baseballdiamond03,2
baseballdiamond04,2
baseballdiamond05,2
baseballdiamond06,2
baseballdiamond07,2
baseballdiamond08,2
baseballdiamond09,2
baseballdiamond10,2
baseballdiamond11,2
baseballdiamond12,2
baseballdiamond13,2
baseballdiamond14,2
baseballdiamond15,2
baseballdiamond16,2
baseballdiamond17,2
baseballdiamond18,2
baseballdiamond19,2
baseballdiamond20,2
baseballdiamond21,2
baseballdiamond22,2
baseballdiamond23,2
baseballdiamond24,2
baseballdiamond25,2
baseballdiamond26,2
baseballdiamond27,2
baseballdiamond28,2
baseballdiamond29,2
baseballdiamond30,2
baseballdiamond31,2
baseballdiamond32,2
baseballdiamond33,2
baseballdiamond34,2
baseballdiamond35,2
baseballdiamond36,2
baseballdiamond37,2
baseballdiamond38,2
baseballdiamond39,2
baseballdiamond40,2
baseballdiamond41,2
baseballdiamond42,2
baseballdiamond43,2
baseballdiamond44,2
baseballdiamond45,2
baseballdiamond46,2
baseballdiamond47,2
baseballdiamond48,2
baseballdiamond49,2
baseballdiamond50,2
baseballdiamond51,2
baseballdiamond52,2
baseballdiamond53,2
baseballdiamond54,2
